id,n,p100,p95,p90,p85,p80,p75,p70,p65,p60,p55,p50,p45,p40,p35,p30,p25,p20,p15,p10,p05,p00
870,870,0.165,0.122,0.111,0.104,0.099,0.092,0.088,0.085,0.082,0.079,0.076,0.072,0.070,0.066,0.064,0.060,0.056,0.050,0.044,0.034,0.000
880,880,0.177,0.124,0.116,0.110,0.103,0.097,0.092,0.088,0.086,0.082,0.079,0.076,0.074,0.071,0.068,0.064,0.056,0.052,0.045,0.035,0.000
890,890,0.171,0.116,0.111,0.105,0.099,0.093,0.085,0.081,0.079,0.077,0.074,0.071,0.068,0.065,0.061,0.058,0.053,0.050,0.043,0.034,0.000
900,900,0.160,0.112,0.107,0.102,0.096,0.092,0.084,0.080,0.077,0.075,0.072,0.069,0.066,0.063,0.059,0.055,0.051,0.047,0.041,0.032,0.000
910,910,0.176,0.121,0.114,0.107,0.097,0.090,0.085,0.081,0.078,0.075,0.071,0.068,0.065,0.062,0.058,0.054,0.051,0.046,0.042,0.031,0.000
920,920,0.169,0.116,0.110,0.104,0.100,0.094,0.090,0.083,0.078,0.074,0.071,0.069,0.066,0.062,0.060,0.056,0.052,0.047,0.040,0.032,0.000
930,930,0.168,0.120,0.116,0.111,0.105,0.099,0.090,0.083,0.080,0.076,0.074,0.071,0.069,0.064,0.062,0.058,0.054,0.050,0.044,0.033,0.000
940,940,0.172,0.116,0.111,0.107,0.103,0.098,0.092,0.083,0.078,0.076,0.072,0.067,0.065,0.062,0.059,0.056,0.052,0.047,0.042,0.034,0.000
950,950,0.171,0.115,0.112,0.109,0.105,0.100,0.093,0.086,0.080,0.076,0.073,0.070,0.067,0.065,0.061,0.058,0.053,0.050,0.043,0.034,0.000
960,960,0.178,0.117,0.114,0.110,0.106,0.101,0.095,0.089,0.081,0.076,0.072,0.071,0.067,0.064,0.059,0.055,0.052,0.047,0.041,0.033,0.000
970,970,0.177,0.123,0.118,0.116,0.112,0.106,0.099,0.092,0.084,0.079,0.076,0.073,0.070,0.067,0.063,0.060,0.056,0.051,0.045,0.037,0.000
980,980,0.177,0.123,0.118,0.116,0.113,0.109,0.102,0.096,0.089,0.082,0.079,0.074,0.071,0.067,0.064,0.059,0.056,0.051,0.044,0.035,0.000
990,990,0.179,0.123,0.120,0.115,0.113,0.107,0.101,0.093,0.085,0.079,0.076,0.072,0.070,0.066,0.062,0.058,0.055,0.050,0.045,0.037,0.000
1000,1000,0.168,0.122,0.119,0.116,0.113,0.108,0.102,0.094,0.085,0.080,0.075,0.072,0.068,0.064,0.060,0.058,0.052,0.048,0.042,0.035,0.000
1010,1010,0.167,0.124,0.120,0.117,0.113,0.108,0.100,0.093,0.086,0.079,0.076,0.073,0.069,0.066,0.062,0.058,0.054,0.049,0.043,0.035,0.000
1020,1020,0.182,0.125,0.120,0.117,0.114,0.109,0.100,0.093,0.084,0.077,0.074,0.071,0.068,0.066,0.061,0.057,0.051,0.047,0.040,0.032,0.000
1030,1030,0.176,0.127,0.124,0.119,0.115,0.111,0.105,0.098,0.091,0.083,0.081,0.079,0.075,0.071,0.068,0.065,0.060,0.055,0.048,0.038,0.000
1040,1040,0.172,0.124,0.121,0.116,0.112,0.108,0.103,0.095,0.086,0.079,0.074,0.070,0.066,0.063,0.059,0.054,0.051,0.045,0.039,0.031,0.000
1050,1050,0.186,0.137,0.130,0.124,0.119,0.114,0.108,0.102,0.095,0.087,0.082,0.080,0.076,0.071,0.068,0.062,0.056,0.050,0.044,0.034,0.000
1060,1060,0.182,0.133,0.128,0.122,0.118,0.114,0.107,0.100,0.093,0.084,0.079,0.077,0.074,0.071,0.067,0.064,0.058,0.052,0.044,0.033,0.000
1070,1070,0.189,0.143,0.134,0.127,0.121,0.114,0.107,0.100,0.093,0.087,0.082,0.079,0.075,0.072,0.067,0.063,0.056,0.049,0.042,0.033,0.000
1080,1080,0.189,0.132,0.129,0.124,0.121,0.116,0.111,0.103,0.094,0.084,0.080,0.077,0.074,0.072,0.068,0.064,0.059,0.054,0.045,0.034,0.000
1090,1090,0.182,0.131,0.127,0.122,0.118,0.114,0.110,0.102,0.093,0.085,0.078,0.075,0.072,0.068,0.066,0.062,0.058,0.053,0.045,0.034,0.000
1100,1100,0.184,0.123,0.119,0.117,0.112,0.109,0.104,0.098,0.091,0.082,0.073,0.068,0.065,0.062,0.058,0.053,0.049,0.045,0.038,0.028,0.000
1110,1110,0.180,0.134,0.130,0.125,0.119,0.115,0.109,0.102,0.094,0.085,0.077,0.074,0.070,0.067,0.063,0.060,0.054,0.049,0.043,0.032,0.000
1120,1120,0.185,0.133,0.129,0.125,0.121,0.117,0.111,0.104,0.095,0.085,0.078,0.075,0.072,0.069,0.066,0.063,0.059,0.053,0.047,0.036,0.000
1130,1130,0.172,0.127,0.124,0.120,0.116,0.112,0.108,0.101,0.093,0.084,0.074,0.071,0.066,0.063,0.060,0.057,0.053,0.049,0.042,0.031,0.000
1140,1140,0.179,0.131,0.128,0.125,0.121,0.116,0.112,0.105,0.098,0.088,0.079,0.075,0.072,0.069,0.065,0.062,0.059,0.054,0.048,0.038,0.000
1150,1150,0.188,0.130,0.127,0.122,0.117,0.114,0.110,0.102,0.094,0.084,0.074,0.070,0.068,0.065,0.061,0.057,0.051,0.047,0.041,0.032,0.000
1160,1160,0.182,0.132,0.128,0.123,0.120,0.115,0.108,0.100,0.090,0.078,0.072,0.069,0.067,0.064,0.061,0.058,0.052,0.046,0.040,0.031,0.000
1170,1170,0.185,0.138,0.134,0.130,0.127,0.122,0.118,0.108,0.100,0.088,0.080,0.078,0.075,0.072,0.070,0.066,0.062,0.056,0.049,0.042,0.000
1180,1180,0.189,0.135,0.131,0.128,0.123,0.118,0.113,0.106,0.098,0.087,0.080,0.076,0.072,0.068,0.066,0.062,0.058,0.054,0.046,0.037,0.000
1190,1190,0.184,0.137,0.134,0.130,0.126,0.122,0.115,0.108,0.099,0.089,0.078,0.074,0.070,0.067,0.064,0.061,0.058,0.054,0.045,0.035,0.000
1200,1200,0.180,0.131,0.128,0.123,0.119,0.115,0.110,0.103,0.094,0.085,0.074,0.068,0.064,0.061,0.058,0.055,0.051,0.044,0.040,0.030,0.000
