id,n,log2(n),log3(n),log4(n)
364,364,8.51,5.37,4.25
365,365,8.51,5.37,4.26
366,366,8.52,5.37,4.26
367,367,8.52,5.38,4.26
368,368,8.52,5.38,4.26
369,369,8.53,5.38,4.26
370,370,8.53,5.38,4.27
371,371,8.54,5.39,4.27
372,372,8.54,5.39,4.27
373,373,8.54,5.39,4.27
374,374,8.55,5.39,4.27
375,375,8.55,5.39,4.28
376,376,8.55,5.40,4.28
377,377,8.56,5.40,4.28
378,378,8.56,5.40,4.28
379,379,8.57,5.40,4.28
380,380,8.57,5.41,4.28
381,381,8.57,5.41,4.29
382,382,8.58,5.41,4.29
383,383,8.58,5.41,4.29
384,384,8.58,5.42,4.29
385,385,8.59,5.42,4.29
386,386,8.59,5.42,4.30
387,387,8.60,5.42,4.30
388,388,8.60,5.43,4.30
389,389,8.60,5.43,4.30
390,390,8.61,5.43,4.30
391,391,8.61,5.43,4.31
392,392,8.61,5.44,4.31
393,393,8.62,5.44,4.31
394,394,8.62,5.44,4.31
395,395,8.63,5.44,4.31
396,396,8.63,5.44,4.31
397,397,8.63,5.45,4.32
398,398,8.64,5.45,4.32
399,399,8.64,5.45,4.32
400,400,8.64,5.45,4.32
401,401,8.65,5.46,4.32
402,402,8.65,5.46,4.33
403,403,8.65,5.46,4.33
404,404,8.66,5.46,4.33
405,405,8.66,5.46,4.33
406,406,8.67,5.47,4.33
407,407,8.67,5.47,4.33
408,408,8.67,5.47,4.34
409,409,8.68,5.47,4.34
410,410,8.68,5.48,4.34
411,411,8.68,5.48,4.34
412,412,8.69,5.48,4.34
413,413,8.69,5.48,4.34
414,414,8.69,5.48,4.35
415,415,8.70,5.49,4.35
416,416,8.70,5.49,4.35
417,417,8.70,5.49,4.35
418,418,8.71,5.49,4.35
419,419,8.71,5.50,4.36
420,420,8.71,5.50,4.36
421,421,8.72,5.50,4.36
422,422,8.72,5.50,4.36
423,423,8.72,5.50,4.36
424,424,8.73,5.51,4.36
425,425,8.73,5.51,4.37
426,426,8.73,5.51,4.37
427,427,8.74,5.51,4.37
428,428,8.74,5.52,4.37
429,429,8.74,5.52,4.37
430,430,8.75,5.52,4.37
431,431,8.75,5.52,4.38
432,432,8.75,5.52,4.38
433,433,8.76,5.53,4.38
434,434,8.76,5.53,4.38
435,435,8.76,5.53,4.38
436,436,8.77,5.53,4.38
437,437,8.77,5.53,4.39
438,438,8.77,5.54,4.39
439,439,8.78,5.54,4.39
440,440,8.78,5.54,4.39
441,441,8.78,5.54,4.39
442,442,8.79,5.54,4.39
443,443,8.79,5.55,4.40
444,444,8.79,5.55,4.40
445,445,8.80,5.55,4.40
446,446,8.80,5.55,4.40
447,447,8.80,5.55,4.40
448,448,8.81,5.56,4.40
449,449,8.81,5.56,4.41
450,450,8.81,5.56,4.41
451,451,8.82,5.56,4.41
452,452,8.82,5.56,4.41
453,453,8.82,5.57,4.41
454,454,8.83,5.57,4.41
455,455,8.83,5.57,4.41
456,456,8.83,5.57,4.42
457,457,8.84,5.57,4.42
458,458,8.84,5.58,4.42
459,459,8.84,5.58,4.42
460,460,8.85,5.58,4.42
461,461,8.85,5.58,4.42
462,462,8.85,5.58,4.43
463,463,8.85,5.59,4.43
