id,n,L
1095,1095,20.19
1096,1096,20.20
1097,1097,20.20
1098,1098,20.20
1099,1099,20.20
1100,1100,20.21
1101,1101,20.21
1102,1102,20.21
1103,1103,20.21
1104,1104,20.22
1105,1105,20.22
1106,1106,20.22
1107,1107,20.22
1108,1108,20.23
1109,1109,20.23
1110,1110,20.23
1111,1111,20.24
1112,1112,20.24
1113,1113,20.24
1114,1114,20.24
1115,1115,20.25
1116,1116,20.25
1117,1117,20.25
1118,1118,20.25
1119,1119,20.26
1120,1120,20.26
1121,1121,20.26
1122,1122,20.26
1123,1123,20.27
1124,1124,20.27
1125,1125,20.27
1126,1126,20.27
1127,1127,20.28
1128,1128,20.28
1129,1129,20.28
1130,1130,20.28
1131,1131,20.29
1132,1132,20.29
1133,1133,20.29
1134,1134,20.29
1135,1135,20.30
1136,1136,20.30
1137,1137,20.30
1138,1138,20.30
1139,1139,20.31
1140,1140,20.31
1141,1141,20.31
1142,1142,20.31
1143,1143,20.32
1144,1144,20.32
1145,1145,20.32
1146,1146,20.32
1147,1147,20.33
1148,1148,20.33
1149,1149,20.33
1150,1150,20.33
1151,1151,20.34
1152,1152,20.34
1153,1153,20.34
1154,1154,20.34
1155,1155,20.35
1156,1156,20.35
1157,1157,20.35
1158,1158,20.35
1159,1159,20.36
1160,1160,20.36
1161,1161,20.36
1162,1162,20.36
1163,1163,20.37
1164,1164,20.37
1165,1165,20.37
1166,1166,20.37
1167,1167,20.38
1168,1168,20.38
1169,1169,20.38
1170,1170,20.38
1171,1171,20.39
1172,1172,20.39
1173,1173,20.39
1174,1174,20.39
1175,1175,20.40
1176,1176,20.40
1177,1177,20.40
1178,1178,20.40
1179,1179,20.41
1180,1180,20.41
1181,1181,20.41
1182,1182,20.41
1183,1183,20.42
1184,1184,20.42
1185,1185,20.42
1186,1186,20.42
1187,1187,20.43
1188,1188,20.43
1189,1189,20.43
1190,1190,20.43
1191,1191,20.44
1192,1192,20.44
1193,1193,20.44
1194,1194,20.44
1195,1195,20.45
1196,1196,20.45
1197,1197,20.45
1198,1198,20.45
1199,1199,20.46
