id,n,L
841,841,16.52
842,842,16.52
843,843,16.52
844,844,16.53
845,845,16.53
846,846,16.53
847,847,16.53
848,848,16.54
849,849,16.54
850,850,16.54
851,851,16.55
852,852,16.55
853,853,16.55
854,854,16.55
855,855,16.56
856,856,16.56
857,857,16.56
858,858,16.57
859,859,16.57
860,860,16.57
861,861,16.57
862,862,16.58
863,863,16.58
864,864,16.58
865,865,16.59
866,866,16.59
867,867,16.59
868,868,16.59
869,869,16.60
870,870,16.60
871,871,16.60
872,872,16.61
873,873,16.61
874,874,16.61
875,875,16.61
876,876,16.62
877,877,16.62
878,878,16.62
879,879,16.63
880,880,16.63
881,881,16.63
882,882,16.63
883,883,16.64
884,884,16.64
885,885,16.64
886,886,16.64
887,887,16.65
888,888,16.65
889,889,16.65
890,890,16.66
891,891,16.66
892,892,16.66
893,893,16.66
894,894,16.67
895,895,16.67
896,896,16.67
897,897,16.68
898,898,16.68
899,899,16.68
900,900,16.68
901,901,16.69
902,902,16.69
903,903,16.69
904,904,16.69
905,905,16.70
906,906,16.70
907,907,16.70
908,908,16.71
909,909,16.71
910,910,16.71
911,911,16.71
912,912,16.72
913,913,16.72
914,914,16.72
915,915,16.72
916,916,16.73
917,917,16.73
918,918,16.73
919,919,16.73
920,920,16.74
921,921,16.74
922,922,16.74
923,923,16.75
924,924,16.75
925,925,16.75
926,926,16.75
927,927,16.76
928,928,16.76
929,929,16.76
930,930,16.76
931,931,16.77
932,932,16.77
933,933,16.77
934,934,16.77
935,935,16.78
936,936,16.78
937,937,16.78
938,938,16.78
939,939,16.79
940,940,16.79
941,941,16.79
942,942,16.80
943,943,16.80
944,944,16.80
945,945,16.80
946,946,16.81
947,947,16.81
948,948,16.81
949,949,16.81
950,950,16.82
951,951,16.82
952,952,16.82
953,953,16.82
954,954,16.83
955,955,16.83
956,956,16.83
957,957,16.83
958,958,16.84
959,959,16.84
960,960,16.84
961,961,16.84
962,962,16.85
963,963,16.85
964,964,16.85
965,965,16.85
966,966,16.86
967,967,16.86
968,968,16.86
969,969,16.86
970,970,16.87
971,971,16.87
972,972,16.87
